Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,32,16,67,13.65,0.000%,11.12347,212.17,4.38,19532.0
TOTAL,10,32,16,67,13.65,0.000%,11.12347,212.17,4.38,19532.0
