Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,18,14,27,4.89,0.000%,10.95290,7.58,4.32,709.0
TOTAL,10,18,14,27,4.89,0.000%,10.95290,7.58,4.32,709.0
